"gloss","target_child_name","part_of_speech","target_child_sex"
"I think this kind of sand is probably concrete for the street","Jillian","pro:sub v det:dem adj prep n cop adv n prep det:art n",NA
"she's going far huh","Jillian","pro:sub n:gerund adj co",NA
"I useta have this when I was a little girl do you know that","Jillian","pro:sub mod v pro:dem conj pro:sub cop det:art adj n v pro:per v pro:dem",NA
"this exact toy","Jillian","pro:dem adj n",NA
"oh sure","Jillian","co adj",NA
"oh I can move it and make it more comfortable for you if you'd like","Jillian","co pro:sub mod v pro:per coord v pro:per adv adj prep pro:per conj pro:per prep",NA
"can we keep it on a little bit longer do you think","Jillian","mod pro:sub v pro:per prep det:art adj n adj v pro:per v",NA
"yeah mommy's got one too","Jillian","co adj part pro:indef adv",NA
"Jilly if you wanna read Cat_in_the_Hat you hafta ask Jenell if that's okay","Jillian","n:prop conj pro:per v v n:prop pro:per mod v n:prop conj pro:dem adj",NA
"is that a friend of Rocky's","Jillian","cop comp det:art n prep adj",NA
"it was nice","Jillian","pro:per cop adj",NA
"she gets really hungry","Jillian","pro:sub v adv adj",NA
"my_goodness Rocky must be a good friend of yours","Jillian","co n:prop mod cop det:art adj n prep pro:poss",NA
"and thirsty","Jillian","coord adj",NA
"well it's a chocolate milk okay","Jillian","co pro:per det:art n n adj",NA
"wow there's always different kind of things in Doctor_Seuss books things you'd never see any place else right","Jillian","co pro:exist adv adj n prep n prep n:prop n n pro:per adv v qn n post co",NA
"yeah that's like a fishy","Jillian","co pro:rel prep det:art adj",NA
"very good","Jillian","adv adj",NA
"huh there's a lot of good things in this book aren't there","Jillian","co pro:exist det:art n prep adj n prep det:dem n aux adv",NA
"to be careful","Jillian","inf cop adj",NA
"because it was slippery right","Jillian","conj pro:per cop adj co",NA
"he's so pretty","Jillian","pro:sub adv adj",NA
"remember she was so nice to us","Jillian","v pro:sub cop adv adj prep pro:obj",NA
"must be a very small person","Jillian","mod cop det:art adv adj n",NA
"first before we go visit Jenell","Jillian","adj conj pro:sub v n n:prop",NA
"very nice","Jillian","adv adj",NA
"was she very nice to us","Jillian","cop pro:sub adv adj prep pro:obj",NA
"do they say funny things","Jillian","mod pro:sub v adj n",NA
"wow we're funny","Jillian","co pro:sub adj",NA
"because sometimes you know when things get wet they get really slippery","Jillian","conj adv pro:per v conj n v adj pro:sub v adv adj",NA
"but I think we should definitely tell Jenell that there are very nice people","Jillian","conj pro:sub v pro:sub mod adv v n:prop adv adv cop adv adj n",NA
"you need a kiss on the back there","Jillian","pro:per v det:art n prep det:art adj adv",NA
"work here and let us know how to be careful","Jillian","n adv coord v pro:obj v pro:int inf cop adj",NA
"better","Jillian","adj",NA
"like which is different than a captain","Jillian","co pro:rel cop adj prep det:art n",NA
"I'm sorry","Jillian","pro:sub adj",NA
"let's see what else is on the next page","Jillian","v v pro:int post aux prep det:art adj n",NA
"this is a good game","Jillian","pro:dem cop det:art adj n",NA
"it's empty now honey","Jillian","pro:per adj adv n",NA
"it really is empty","Jillian","pro:per adv cop adj",NA
"you drank that fast","Jillian","pro:per v adv adj",NA
"mhm he is a sad fish","Jillian","co pro:sub cop det:art adj n",NA
"there's nothing left honey bun","Jillian","pro:exist pro:indef adj n n",NA
"I wonder why he's sad","Jillian","pro:sub v pro:rel pro:sub adj",NA
"it's really kind of empty","Jillian","pro:per adv n prep adj",NA
"let's try and look at the picture and see if we can find out why he's sad","Jillian","v v coord v prep det:art n coord v conj pro:sub mod v prep pro:rel pro:sub adj",NA
"what's the little boy doing","Jillian","pro:int det:art adj n part",NA
"it might make him sick","Jillian","pro:per mod v pro:obj adj",NA
"you get the clean water out of the sink and you put it in the cup","Jillian","pro:per v det:art adj n adv prep det:art n coord pro:per v pro:per prep det:art n",NA
"good covering your mouth","Jillian","adj n:gerund det:poss n",NA
"he's kinda different","Jillian","pro:sub n prep adj",NA
"there isn't another we're gonna have dinner in a little while","Jillian","pro:exist cop qn pro:sub part v n prep det:art adj n",NA
"the little baby fish is in the crib","Jillian","det:art adj n n cop prep det:art n",NA
"maybe that's Rocky's friend do you think","Jillian","adv pro:rel adj n v pro:per v",NA
"was he dirty","Jillian","cop pro:sub adj",NA
"yeah he was dirty","Jillian","co pro:sub cop adj",NA
"what do they do all day to get dirty","Jillian","pro:int mod pro:sub v qn n inf v adj",NA
"no this what did this doggie do during the day to get himself all dirty","Jillian","co det:dem pro:int mod det:dem n v prep det:art n inf v pro:refl adv adj",NA
"he's happy","Jillian","pro:sub adj",NA
"same thing you like to do in the tub right","Jillian","adj n pro:per v inf v prep det:art n co",NA
"Minnie is the one who's who's got something special","Jillian","n:prop cop det:art det:num pro:rel part pro:indef adj",NA
"and who who do you pretend to be when you're in the bathtub","Jillian","coord pro:int mod pro:per adj inf cop conj pro:per prep det:art",NA
"does she have a pretty bow in her hair","Jillian","mod pro:sub v det:art adj n prep det:poss n",NA
"and you have a little fish friend who's he","Jillian","coord pro:per v det:art adj n n pro:rel pro:sub",NA
"yeah and you guys just swim in the bathtub","Jillian","co coord pro:per n adj n prep det:art",NA
"is that fun","Jillian","cop pro:dem adj",NA
"did you take a bath at Bubba's","Jillian","mod pro:per v det:art n prep adj",NA
"yeah was that fun","Jillian","co cop pro:dem adj",NA
"that's Jillian's mom","Jillian","pro:dem adj n",NA
"oh good","Jillian","co adj",NA
"it's a funny car though huh","Jillian","pro:per det:art adj n conj co",NA
"oh that happened didn't that happen that happened at Taylor and Tia's house this um Sunday didn't it","Jillian","co pro:rel part mod adv v pro:rel v prep n:prop coord adj n det:dem n:prop mod pro:per",NA
"he kinda you're right his face does look a little bit scared","Jillian","pro:sub n prep pro:per adj det:poss n v v det:art adj n part",NA
"what did you do at Taylor and Tia and Michael and Erik's house this on Sunday remember","Jillian","pro:int mod pro:per v prep n:prop coord n:prop coord n:prop coord adj n prep n:prop v",NA
"that's right you were playing with Erik right","Jillian","pro:dem adj pro:per aux part prep n:prop adj",NA
"tell them all about what this little boy is doing","Jillian","v pro:obj adv prep pro:int det:dem adj n aux part",NA
"why is he bad","Jillian","pro:int cop pro:sub adj",NA
"maybe he's not bad","Jillian","adv pro:sub neg adj",NA
"is it is it comfortable Jillian or does it","Jillian","aux pro:per adj n:prop coord mod pro:per",NA
"oh gosh I hope he's okay","Jillian","co co pro:sub v pro:sub adj",NA
"and what's this little what is that","Jillian","coord pro:int det:dem adj pro:int cop pro:dem",NA
"a little kitten","Jillian","det:art adj n",NA
"do you think it's yummy","Jillian","mod pro:per v pro:per adj",NA
"we took him back to his mommy and daddy's where did we go","Jillian","pro:sub v pro:obj adv prep det:poss n coord adj pro:rel mod pro:sub v",NA
"gosh I feel so bad","Jillian","co pro:sub v adv adj",NA
"he's a happy horsie","Jillian","pro:sub det:art adj n",NA
"that's a real shame that he hurt his feet","Jillian","pro:dem det:art adj n pro:rel pro:sub v det:poss n",NA
"you're very lucky because daddy noticed that you even have a story you know very well","Jillian","pro:per adv adj conj n v comp pro:per adv v det:art n pro:per v adv adv",NA
"oh the owl but the owl doesn't look scary here he looks tired","Jillian","co det:art n conj det:art n mod v adj adv pro:sub cop part",NA
"what does she hafta do to be able to push him","Jillian","pro:int v pro:sub mod v inf cop adj inf v pro:obj",NA
"he looks very sleepy","Jillian","pro:sub cop adv adj",NA
"what's this little guy","Jillian","pro:int det:dem adj n",NA
"there's a couple of different xxx","Jillian","pro:exist det:art n prep adj",NA
"it looks like he's he's doing something funny though","Jillian","pro:per v conj pro:sub part pro:indef adj adv",NA
"that's good","Jillian","pro:dem adj",NA
